Player,GP,MIN,PPG,RPG,APG,SPG,BPG,TPG,FG%,FT%,3P%,Inch,Lbs,Pos,College
Phillip McGloin,2,0,0,0,0,0,0,0,0,0,0,73,183,G,Vanderbilt University
Noah Allen,30,30.2,15.7,5.8,2,1.2,0.2,2.7,0.472,0.778,0.326,79,215,G,University of Hawaii
Gibson Johnson,30,24.8,11.4,4.8,1.5,0.6,0.6,1.8,0.514,0.664,0.172,80,220,F,University of Hawaii
Jack Purchase,30,30,9.6,4.2,2.1,0.6,0.4,1.4,0.408,0.895,0.389,81,215,F,University of Hawaii
Sheriff Drammeh,29,30.3,9.2,2.7,2.8,0.8,0.1,2,0.356,0.762,0.327,75,160,G,University of Hawaii
Leland Green,27,24.6,7,3.5,1.1,0.6,0.1,1.1,0.374,0.514,0.361,74,180,G,University of Hawaii
Brocke Stepteau,30,25.9,6.4,1.8,3,0.2,0,1.7,0.367,0.807,0.288,69,170,G,University of Hawaii
Ido Flaisher,30,10.6,3.3,2.9,0.2,0.1,0.3,0.9,0.549,0.611,0,82,230,C,University of Hawaii
Zigmars Raimo,28,12.4,2.6,2,0.5,0.4,0.2,0.8,0.388,0.568,0,79,245,F,University of Hawaii
Matthew Owies,27,11.6,2.6,0.9,0.9,0.4,0,0.8,0.333,0.75,0.263,72,180,G,University of Hawaii
Larry Lewis Jr.,21,6.5,1.8,0.9,0.1,0.3,0,0.3,0.344,0.652,0,75,180,G,University of Hawaii
Brian Garrett,6,2.2,0.8,0.3,0,0,0,0.2,0.25,0.5,0.5,76,180,G,University of Hawaii
Zach Buscher,15,3.1,0.4,0.3,0.1,0.1,0,0.2,0.333,0,0,75,180,G,University of Hawaii
Darryl Matthews,8,1.1,0.4,0,0,0.1,0,0,0,0.5,0,77,215,F,University of Hawaii
Miles Bridges,28,32,16.9,8.3,2.1,0.7,1.5,2.4,0.486,0.685,0.389,79,225,G,Michigan State
Nick Ward,35,19.8,13.9,6.5,0.4,0.3,1.5,1.7,0.592,0.615,0,80,245,F,Michigan State
Eron Harris,28,22.1,10.4,2.9,1.6,0.4,0.2,1.7,0.432,0.776,0.387,75,190,G,Michigan State
Joshua Langford,35,21,6.9,2.3,1.1,0.4,0.1,1.1,0.497,0.654,0.416,77,210,G,Michigan State
Cassius Winston,35,20.7,6.7,1.8,5.2,0.7,0.1,2.2,0.423,0.775,0.38,72,185,G,Michigan State
Alvin Ellis III,35,19.4,6.4,3.1,1.2,0.6,0.4,1.4,0.4,0.702,0.363,76,210,G,Michigan State
Matt McQuaid,34,21,5.6,1.9,1.2,0.4,0.1,0.8,0.353,0.714,0.35,76,200,G,Michigan State
Lourawls Nairn Jr.,35,22.8,3.5,2.5,3.6,0.4,0.1,1.1,0.417,0.538,0.324,70,175,G,Michigan State
Kenny Goins,35,18.3,3.4,4.5,0.6,0.2,0.6,1.1,0.578,0.667,0,79,230,F,Michigan State
Kyle Ahrens,34,8.2,2.6,1.1,0.2,0,0,0.3,0.429,0.75,0.333,78,210,G,Michigan State
Matt Van Dyk,32,7.3,1.2,1.6,0.4,0.3,0.4,0.4,0.538,0.478,0,77,220,F,Michigan State
Conner George,10,1.2,0.6,0.3,0.1,0,0,0.3,0.5,0.667,0,75,200,G,Michigan State
Greg Roy,8,0.9,0.4,0.1,0,0,0,0,0.333,0.5,0,75,210,G,Michigan State
Ray Bowles Jr.,33,33.5,13.4,3.7,2.7,0.8,0.3,2.2,0.355,0.704,0.315,77,215,G,University of Pacific
T.J. Wallace,30,31.5,12.9,3.7,3,0.8,0.1,2.3,0.399,0.772,0.397,75,215,G,University of Pacific
Anthony Townes,30,23,10.3,7.1,0.5,0.7,0.8,1.3,0.532,0.616,0,78,215,F,University of Pacific
Jack Williams,32,24.1,8.7,6.3,0.8,0.4,0.3,0.7,0.378,0.685,0.391,80,220,F,University of Pacific
Jacob Lampkin,24,17.5,6.4,4.7,0.9,0.2,0.3,1,0.5,0.596,0,81,235,F,University of Pacific
D.J. Ursery,31,16.1,6,2.3,1.4,0.2,0,1.3,0.412,0.6,0.313,66,195,G,University of Pacific
David Taylor,24,18.2,4.7,1.7,0.9,0.5,0,0.8,0.307,0.793,0.299,75,190,G,University of Pacific
Tonko Vuko,26,17.1,3.9,4.2,0.2,0.2,0,0.5,0.545,0.75,0.357,80,230,F,University of Pacific
K.J. Smith,24,13,3.2,0.8,0.8,0.3,0.1,0.5,0.364,0.5,0.216,64,160,G,University of Pacific
Keshon Montague,19,13.4,2.6,0.8,1.1,0.2,0.1,0.7,0.347,0.667,0.333,72,170,G,University of Pacific
Sami Eleraky,21,9,1.7,2.2,0.1,0.2,0.1,0.5,0.395,0.429,0,84,260,C,University of Pacific
Ilias Theodorou,10,5.8,1.6,1.3,0.3,0,0.1,0.7,0.353,0.333,0.3,79,215,F,University of Pacific
Max Tinsley,19,10.6,1.6,1.4,0.7,0.2,0,0.4,0.4,0.4,0.364,64,170,G,University of Pacific
Maleke Haynes,24,12.3,1.2,1.3,1.2,0.4,0,1,0.211,0.786,0.118,70,160,G,University of Pacific
Dominic Rector,1,2,0,0,0,0,0,0,0,0,0,79,200,F,University of Pacific
Marcus Evans,35,31.7,19,3.3,3.7,1.1,0.1,3.7,0.425,0.787,0.376,74,190,G,Rice University
Egor Koulechov,35,34.3,18.2,8.9,2.1,0.8,0.3,2,0.473,0.819,0.474,77,205,G,Rice University
Marcus Jackson,35,30,12.2,2.5,2.3,0.9,0.1,1.7,0.435,0.806,0.368,75,185,G,Rice University
Connor Cashaw,35,26.1,8,5.3,1.8,0.8,0.2,1.1,0.444,0.667,0.374,77,200,G,Rice University
Marquez Letcher-Ellis,35,19.1,7.7,4.9,0.5,0.8,1,2.2,0.47,0.661,0.345,79,205,F,Rice University
Chad Lott,32,19.6,5.8,3.2,1.6,1,0.3,1.3,0.53,0.642,0.375,76,185,G,Rice University
Corey Douglas,9,17.2,4.4,3.8,0.2,0.4,0.9,1,0.85,0.857,0,80,190,F,Rice University
Ako Adams,35,13.1,3,1.1,1.2,0.3,0.1,1.1,0.32,0.821,0.356,74,170,G,Rice University
Andrew Drone,30,7.6,2.6,1.3,0.2,0.2,0.5,0.6,0.732,0.545,0,82,260,C,Rice University
Austin Meyer,34,10.4,2.5,2.1,0.2,0.2,0.6,0.4,0.61,0.636,0,81,235,F,Rice University
Harrison Brown,1,1,2,1,0,0,0,0,1,0,0,76,200,G,Rice University
Tim Harrison,25,5.5,1.6,1,0.1,0.1,0.4,0.3,0.64,0.667,0.2,80,220,F,Rice University
Bishop Mency,20,3.8,1.2,0.5,0.2,0.2,0.1,0.1,0.471,0.286,0.417,77,215,G,Rice University
Robert Martin,17,4.8,0.7,0.9,0.1,0.1,0,0.3,0.308,0.5,0.167,78,220,F,Rice University
Addison Owen,5,1.6,0.6,0.2,0.2,0,0,0.2,0.333,0,0.333,77,185,G,Rice University
Grant Youngkin,5,1.6,0,0.4,0,0,0,0,0,0,0,75,190,G,Rice University
